zh_CN,Metdata,Label,pt_BR,da,th,es_MX,no,pl,vi,pt_PT,fr_CA,de,es,fr,it,ko,package,Translated,Configuration
"紧急","CustomLabel.CEC_Case_Priority_Urgent","Urgent","Urtgente","","","Urgente","","Pilna","","","Urgent","Dringend","Urgente","Urgent","Urgente","","","Will be Transalted","No"
"承诺时间","CustomLabel.CEC_Case_Priority_helptext","Indicates the commitment time for UPS to contact the customer.","Indica o prazo para a UPS contatar o cliente","Indikerer forpligtelsestid for UPS at kontakte kunden","ระยะเวลาที่กำหนดให้ UPS ทำการติดต่อกลับหาลูกค้า","Indica el tiempo de compromiso para que UPS contacte con el cliente.","Indikerer forpliktet tidsfrist for å bli kontaktet av UPS","Wskazuje ustalony czas kontaktu z klientem","Cho biết thời gian cam kết để UPS liên hệ với khách hàng.","Indica o tempo de compromisso para a UPS contactar o cliente.","Indique le délai à l'intérieur duquel UPS doit communiquer avec le client.","Zeigt die zugesagte Zeit an, in der UPS den Kunden kontaktieren muss.","Indica el tiempo de compromiso para que UPS contacte con el cliente.","Indique le temps d'engagement limite qu'UPS a pour contacter le client.","Indica la tempistica di contatto al cliente da parte di UPS","UPS가 고객에게 연락하는 약속 시간을 나타냅니다.","CustomLabel$CEC_Case_Priority_helptext","Will be Transalted","No"
"当案件被回复时，由哪个队列处理","CustomLabel.CEC_Case_Queue_Search_Label","Please indicate which queue will handle this case after reply:","Por favor, indique qual queue será utilizado nste caso após a resposta:","Venligst indiker hvilken kø skal håndtere sagen efter svar:","โปรดระบุคิวที่จะจัดการเคสนี้หลังจากตอบกลับ::","Indica qué cola manejará este caso después de la respuesta:","Vennligst indiker hvilken kø som vil behandle saken etter svar:","Określ do której kolejki trafi ta sprawa po udzieleniu odpowiedzi","Vui lòng cho biết nhóm nào sẽ xử lý trường hợp này sau khi trả lời:","Por favor indicar que lista será utilizada para trabalhar este caso depois da resposta","Veuillez indiquer quelle file d'attente traitera cette requête après la réponse :","Bitte gib an, welche Queue den Vorgang nach Antwort weiter bearbeiten soll:","Indica qué cola manejará este caso después de la respuesta:","Veuillez indiquer quelle file d'attente traitera cette requête une fois répondue :","Indica quale coda gestirà il caso dopo la risposta:","회신 후 이 케이스를 처리할 대기열을 지정하십시오.","CustomLabel$CEC_Case_Queue_Search_Label","Will be Transalted","No"
"必须输入联系地址中的必填信息才能激活“快速操作”菜单","CustomLabel.CEC_Case_Quick_Action_Error","Mandatory information is required from the Contact Address in order to activate the Quick Actions menu","Informações obrigatórias são solicitadas no Endereço de contato para ativar o menu de ação rápida","Obligatorisk information kræves fra Kontaktadresse for a kunne aktivere Hurtig Funktion menuen","ต้องป้อนข้อมูลที่จำเป็นในที่อยู่ติดต่อเพื่อเปิดใช้งานเมนู "การดำเนินการด่วน"","Es obligatorio completar la información de la Dirección de Contacto para activar el menú Acciones Rápidas","Obligatorisk informasjon er påkrevd fra Kontaktadressen for å aktivere Hurtighandlings menyen","W celu aktywacji Menu Szybkich Działań wymagane są obowiązkowe informacje z Adresu kontaktowego.","Thông tin bắt buộc có trong Địa chỉ liên hệ để kích hoạt menu Tác vụ nhanh","É obrigatório completar a informação na Morada de Contacto para activar o menu de Acção Rápidas.","Certains renseignements sont obligatoires pour le champ Adresse du contact afin d'activer le menu d'action rapide.","Pflichtinformationen werden von der Kontaktadresse benötigt, um das  Schnellstart Menü zu öffnen.","Es obligatorio completar la información de la Dirección de Contacto para activar el menú Acciones Rápidas","Des informations obligatoires sont requises à partir de l’adresse du contact afin d’activer le menu Actions rapides","Per attivare il menù Azioni rapide è necessario completare le informazioni obbligatorie del contatto","퀵 액션 메뉴를 활성화하려면 연락처 주소에서 필수 정보가 필요합니다.","CustomLabel$CEC_Case_Quick_Action_Error","Will be Transalted","No"
"请删除特殊符号或者验证客户的地址。如有需要，请联系我们","CustomLabel.CEC_Case_Reassign_AR_Address_Based_Ineligible_Message","Please remove any accented characters, or verify the customer's address. If needed, please reach out for assistance.","Por favor, remova quaisquer caracteres acentuados, ou verificar o endereço do cliente. Se necessário, contacte a assistência","Fjern venligst tegn med accent, eller bekræft kundens adresse. Hvis nødvendigt, dpørg om hjælp.","โปรดลบอักขระที่เน้นเสียง หรือยืนยันที่อยู่ของลูกค้า หากจำเป็นโปรดติดต่อเพื่อขอความช่วยเหลือ","Por favor, elimine los caracteres acentuados, o verificar el domicilio del cliente. Si es necesario, póngase en contacto para la asistencia.","Vennligst fjern bokstaver med aksent, eller verifisier kundens adresse. Om nødvendig, be om hjelp.","Należy usunąć wszelkie znaki diakrytyczne lub zweryfikować adres klienta. Jeśli to konieczne, należy sięgnąć do pomocy.","Vui lòng xóa mọi ký tự có dấu hoặc xác minh địa chỉ của khách hàng. Nếu cần, vui lòng liên hệ để được hỗ trợ.","Por favor remove todos do caracteres acentuados ou verifica a morada do cliente. Se necessário, solicita ajuda.","S'il vous plaît supprimer tous les caractères accentués, ou vérifier l'adresse du client. Si nécessaire, s'il vous plaît demander de l'aide.","Bitte entfernen Sie alle akzentuierten Zeichen oder die Adresse des Kunden überprüfen. Bei Bedarf erreichen, bitte um Hilfe.","Elimina los caracteres señalados o verifica la dirección del cliente. Si fuera necesario, solicita ayuda.","S'il vous plaît supprimer tous les caractères accentués, ou vérifier l'adresse du client. Si nécessaire, s'il vous plaît demander de l'aide.","Si prega di rimuovere eventuali caratteri accentati, o verificare l'indirizzo del cliente. Se necessario, si prega di raggiungere per l'assistenza.","악센트 부호가 있는 문자를 제거하거나 고객 주소를 확인하십시오. 필요한 경우 도움을 요청하십시오.","CustomLabel$CEC_Case_Reassign_AR_Address_Based_Ineligible_Message","Will be Transalted","No"
"案件无法发送到其他国家。事故发生地点必须在你所在的国家","CustomLabel.CEC_Case_Reassign_AR_IncidentCountry_Different_From_CaseCountry_Message","Cases cannot be sent to another country at this time. The incident location must be within your country.","Casos não podem ser enviados para outros países no momento. A Localização deve ser no mesmo país.","Sager kan ikke sendes til et andet land på dette tidspunkt. Incident location skal være i dit eget land.","เคสไม่สามารถส่งไปยังประเทศอื่นได้ในขณะนี้ สถานที่เกิดเหตุต้องอยู่ในประเทศของคุณ","Los casos no se pueden enviar a otro país en este momento. El lugar de la incidencia debe estar dentro de tu país.","Saker kan ikke sendes til et annet land for øyeblikket. Hendelsesstedet må være innad i brukerlandet.","Obecnie niemożliwe jest przesyłanie spraw do innych krajów. Wybierz miejsce zdarzenia zlokalizowane w Twoim kraju.","Không thể tạo case cho quốc gia khác. Vui lòng chọn vị trí sự việc là quốc gia của bạn.","Casos não podem ser enviados para outros países no momento. A Localização deve ser no mesmo país.","À l'heure actuelle, les requêtes ne peuvent pas être transmises à un autre pays. Le lieu de l'incident doit être dans votre pays.","Vorgänge können derzeit nicht in ein anderes Land gesendet werden. Der Ort des Zwischenfalls muss in deinem Land liegen.","Los casos no se pueden enviar a otro país en este momento. El lugar de la  incidencia debe estar dentro de tu país.","Les requêtes ne peuvent ps être envoyer vers un autre payspour le moment. Le lieu de l'incident doit être celui de votre pays.","Non è possibile al momento inviare casi in altri Paesi. Il luogo del problema deve essere nel tuo Paese","현재 케이스를 다른 국가로 보낼 수 없습니다. 발생 위치는 귀하의 국가 내에 있어야합니다.","CustomLabel$CEC_Case_Reassign_AR_IncidentCountry_Different_From_CaseCountry_Message","Will be Transalted","No"
"案件分类/分支类型是无效的，请重新选择","CustomLabel.CEC_Case_Reassign_AR_Ineligible_Message","The Case Category / Case Sub Category combination is invalid. Please make another selection.","A combinação da Categoria do Caso / Subcategoria é inválida. Por gentileza fazer nova seleção","Sagstypen / Sagsundertypen er ugyldig. Vælg venligst noget andet","ประเภทของเคส/ประเภทย่อยของเคส ไม่ถูกต้องโปรดเลือกใหม่","La combinación de categoría de caso / subcategoría de caso no es válida. Por favor haz otra selección.","Sakstype / undertype kombinasjonen er ugyldig. Vennligst velg på nytt.","Kombinacja kategorii i podkategorii sprawy jest nieprawidłowa. Dokonaj nowego wyboru.","Chọn sai cặp Case Category & Case Sub Category. Vui lòng chọn lại","A Combinação da Categoria do Caso / Subcategoria é inválida. Por Favor fazer nova seleção","La combinaison catégorie de cas / sous-catégorie de cas n'est pas valide. Veuillez faire une autre sélection.","Die Kombination aus Fallkategorie und Unterkategorie ist ungültig. Bitte treffen Sie eine andere Auswahl.","La combinación Categoría de Caso / Subcategoría de Caso no es válida. Por favor haz otra selección.","La combinaison catégorie de cas / sous-catégorie de cas n'est pas valide. Veuillez faire une autre sélection.","La combinazione Tipologia/Sottotipologia caso non è valida. Scegli un'altra combinazione","케이스 유형 / 케이스 하위 유형 조합이 유효하지 않습니다. 다른 항목을 선택하십시오.","CustomLabel$CEC_Case_Reassign_AR_Ineligible_Message","Will be Transalted","No"
"客户更新","CustomLabel.CEC_Case_Status","Updated by Customer","Atualizado pelo Cliente","Opdateret af kunde","แจ้งให้ลูกค้าทราบ","Actualizado por el Cliente","Oppdatert av Kunde","Zaktualizowana przez klienta","Khách hàng cập nhật","Actualizado pelo Cliente","Mis à jour par le client","Vom Kunden aktualisiert","Actualizado por el Cliente","Mis à jour par le client","Aggiornato dal cliente","고객 업데이트","CustomLabel$CEC_Case_Status","Will be Transalted","No"
"努力处理","CustomLabel.CEC_Case_Status_Working","Working","Trabalhando","Arbejder","กำลังทำ","En Proceso","Arbeider","Opracowywana","Đang xử lý","Em Processo","En traitement","In weiterer Bearbeitung","En Proceso","En traitement","In gestione","작업중","CustomLabel$CEC_Case_Status_Working","Will be Transalted","No"
"案件分支类型","CustomLabel.CEC_Case_Sub_Category","Case Sub Category","Subcategoria do Caso","Sagsunderkategori","ประเภทย่อยของเคส","Subcategoría del Caso","Saks underkategori","Rodzaj sprawy","Case Sub Category","Subcategoria do Caso","Sous-catégorie de requête","Vorgangsuntertyp","Subcategoría del Caso","Sous-catégorie de la requête","Sottotipologia caso","케이스 하위 유형","CustomLabel$CEC_Case_Sub_Category","Will be Transalted","No"
"一般客户查询的原因，可以用于案件处理","CustomLabel.CEC_Case_Sub_Category_helptext","Detailed reason for the customer's inquiry. Will provide additional help with case handling.","Detalhe as razões da solicitação do cliente. Irá providenciar ajuda adicional com o caso aberto","Detaljeret begrundelse for kundens forespørgelsel. Vil bringe ekstra hjælp til sagsbehandling","เหตุผลโดยละเอียดสำหรับการสอบถามของลูกค้า โดยจะให้ความช่วยเหลือเพิ่มเติมเกี่ยวกับการจัดการเคส","Motivo detallado de la consulta del cliente. Ofrecerá ayuda adicional con el manejo de casos.","Detaljert årsak for forespørsel. Det vil hjelpe saksbehandligen ytterligere.","Sprecyzowany powód zgłoszenia klienta. Zapewni dodatkową pomoc przy obsłudze sprawy.","Lý do chi tiết cho yêu cầu của khách hàng. Sẽ cung cấp hỗ trợ xử lý.","Razões detalhadas para a consulta do cliente. Irá providenciar ajuda com a gestão do caso.","Raison détaillée de la demande du client. Sera utile dans le traitement de la requête.","Detaillierter Grund für die Kundenanfrage. Bietet zusätzliche Hilfe bei der Bearbeitung des Vorgangs.","Motivo detallado de la consulta del cliente. Ofrecerá ayuda adicional con el manejo del caso.","Raison détailléede la demande du client. Aidera au  traitement du dossier.","Motivo specifico della richiesta del cliente, utile per la gestione del caso","고객 문의에 대한 상세 이유. 케이스 처리에 대한 추가 지원을 제공합니다.","CustomLabel$CEC_Case_Sub_Category_helptext","Will be Transalted","No"
"分支案件状态","CustomLabel.CEC_Case_Sub_Status","Case Sub Status","Status do Sub Caso","Sagstype","สถานะย่อยของเคส","Estado Secundario","Sakens understatus","Status drugorzędny","Tình trạng phụ của case","Estado do Sud Caso","Statut secondaire de la requête","Vorgangstyp Status","Estado Secundario","Sous statut de la requête","Stato secondario","케이스 하위 상태","CustomLabel$CEC_Case_Sub_Status","Will be Transalted","No"
"请列明哪位用户是案件提交人","CustomLabel.CEC_Case_Submitter_Search_Label","Please indicate which user will be case submitter:","Por gentileza indicar qual usuário será o responsável pelo caso","Venligst indiker hvilken bruger, der vil være sagsindsender","โปรดระบุว่าผู้ใช้รายใดจะเป็นผู้ส่งกรณี:","Indica qué usuario será el creador del caso:","Vennligst indiker hvilken bruker valgt som saksinnsender","Wybierz założyciela sprawy","Vui lòng cho biết ai sẽ là người gửi yêu cầu:","Por favor indicar que utilizador irá submeter o caso","Veuillez indiquer quel utilisateur soumettra la requête :","Bitte gib an, welcher Benutzer der Vorgangsersteller sein wird:","Indica qué usuario será el creador del caso:","Veuillez indiquer quel utilisateur sera l'auteur de la requête","Indica chi è l'utente del caso","어떤 사용자가 케이스 제출자가 될 것인지 지정하십시오.","CustomLabel$CEC_Case_Submitter_Search_Label","Will be Transalted","No"
"案件时间记录","CustomLabel.CEC_Case_Timestamps","Case Timestamps","HORÁRIO DO CASO","Tidsstemple for sager","บันทึกเวลาของเคส","HORARIOS DEL CASO","SAK TIDSSTEMPEL","ZDARZENIA NA OSI CZASU","Các mốc thời gian của Case","HORÁRIOS DO CASO","HORODATAGE DE LA REQUÊTE","VORGANG ZEITSTEMPEL","HORARIOS DEL CASO","HORODATAGE DE LA REQUÊTE","ORARI DEL CASO","시간별 기록","CustomLabel$CEC_Case_Timestamps","Will be Transalted","No"
"子邮件","CustomLabel.CEC_Child_Email","Child - Email","Criança - Email","Barn - email","เด็ก - อีเมล","Niño: correo electrónico","Undersak - e-post","E-mail powiązany","","Email Secundário","","Untergeordnet Email","Caso Hijo - email","Enfant - Email","","어린이 - 이메일","CustomLabel$CEC_Child_Email","Will be Transalted","No"
"子网页","CustomLabel.CEC_Child_Web","Child - Web","Criança - Web","Barn - web","","Niño - Web","Undersak - nett","Strona powiązana","","Site Secundario","","Untergeordnet Web","Caso hijo - Web","Enfant - Web","","어린이 - 웹","CustomLabel$CEC_Child_Web","Will be Transalted","No"
"选择一个选项开启搜索功能","CustomLabel.CEC_Choose_I_want","Choose an option or start typing to search","Escolha uma opção ou comece a digitar para busca","Vælg en mulighed eller begynd at skrive for at søge","เลือกตัวเลือกเพื่อเปิดฟังก์ชันการค้นหา","Elige una opción o comienza a escribir para buscar","Velg et alternativ eller skriv for å søke","Wybierz opcję lub zacznij wprowadzać zapytanie by wyszukać","Chọn một tùy chọn hoặc bắt đầu nhập để tìm kiếm","Escolha uma opção ou inicie uma pesquisa","Choisissez une option ou entrez du texte pour effectuer une recherche","Wähle eine Option oder schreibe etwas, um zu suchen","Elige una opción o comienza a escribir para buscar","Choisissez une option ou commencez à taper pour rechercher","Scegli un'opzione o scrivi per iniziare la ricerca","옵션을 선택하거나 검색을 위하여 내용을 입력하세요.","CustomLabel$CEC_Choose_I_want","Will be Transalted","No"
"城市","CustomLabel.CEC_City","City","Cidade","By","เมือง","Ciudad","By","Miasto","Thành phố","Cidade","Ville","Stadt","Ciudad","Ville","Città","도시","CustomLabel$CEC_City","Will be Transalted","No"
"点击","CustomLabel.CEC_Click","Click","Clique","","คลิก","Hacer clic","","Kliknij","","Clique","","Klicken","Hacer clic","Cliquez sur","","딸깍 하는 소리","CustomLabel$CEC_Click","Will be Transalted","No"
"关闭","CustomLabel.CEC_Close","Close","Fechar","Luk","ปิด","Cerrar","Steng","Zamknij","Đóng","Fechar","Fermer","Schliessen","Cerrar","Fermer","Chiudi","종료","CustomLabel$CEC_Close","Will be Transalted","No"
"其他人将联系客户，请输入详细的信息来帮助他们","CustomLabel.CEC_Close_AR_Case_Info_Message","Another Team Member will reach out to the customer. Please enter detailed resolution notes to assist them","Outro membro da equipe irá contatar o cliente. Por gentileza detalhar as observações para assisti-lo.","En anden medarbejder will række ud til kunden.Venligst,  Indtast detaljerede oplysningsnoter for at hjælpe dem.","สมาชิกในทีมท่านอื่นจะทำการติดต่อลูกค้า โปรดป้อนข้อมูลการแก้ปัญหาเพื่อเป็นการให้คำแนะนำพวกเขา","Otro miembro del equipo se comunicará con el cliente. Introduce notas de resolución detalladas para ayudarlos.","En medarbeider vil nå ut til kunden. Vennligst skriv inn detaljerte notater for å assistere saksløsing.","Inny pracownik skontaktuje się z klientem. Wprowadź szczegółowe uwagi dotyczące rozwiązania, aby mu pomóc","Một Thành viên khác trong nhóm sẽ liên hệ với khách hàng. Vui lòng nhập ghi chú giải quyết chi tiết để hỗ trợ họ","Outro membro da equipa irá contactar o cliente. Por favor, detalhar a informação de  resolução para o ajudar.","Un autre membre de l'équipe communiquera avec le client. Veuillez entrer les détails de la résolution.","Ein anderes Team Mitglied wird sich an den Kunden wenden. Bitte trage detaillierte Lösungshinweise zur Unterstützung ein.","Otro miembro del equipo se comunicará con el cliente. Introduce notas de resolución detalladas para ayudarlos.","Un autre membre de l’équipe prendra contact avec le client. Veuillez saisir des notes détaillées pour la résolution afin de les aider","Un altro utente contatterà il cliente. Inserisci una risoluzione dettagliata per assisterlo","다른 팀원이 고객에게 연락 할 것입니다. 그들을 지원할 상세 해결 방법을 입력하세요.","CustomLabel$CEC_Close_AR_Case_Info_Message","Will be Transalted","No"
"你会发送邮件来关闭案件么？","CustomLabel.CEC_Close_A_Case_Option_Label","Will you be sending an email to close this case?","Você enviará um e-mail para fechar esse caso?","Vil du sende en e-mail for at lukke denne sag?","คุณจะส่งอีเมลเพื่อปิดเคสนี้หรือไม่?","¿Enviarás un correo electrónico para cerrar este caso?","Vil du sende en epost for å lukke denne saken?","Czy zamykając sprawę zamierzasz wysłać email?","Bạn sẽ gởi thư điện tử để đóng case này?","Vai enviar um Email para fechar este caso?","Enverrez-vous un courriel pour fermer cette requête?","Wirst Du eine E-Mail senden, um diesen Vorgang zu schliessen?","¿Enviarás un correo electrónico para cerrar este caso?","Allez-vous envoyer un E-mail pour clôturer cette requête?","Invierai un'email per chiudere questo caso?","이 케이스를 종료하기 위해 이메일을 발송하시겠습니까?","CustomLabel$CEC_Close_A_Case_Option_Label","Will be Transalted","No"
"你需要完成邮箱的填写来关闭案件","CustomLabel.CEC_Close_A_case_Email_Confirmation_Message","You must complete the email section and the case will be closed upon send.","Você deve completar a sessão e-mail e o Caso será fechaedo após o envio.","Du skal gennemføre e-mail sektionen, og sagen vil blive lukket, når du sender","คุณต้องกรอกข้อมูลในส่วนอีเมล และเคสจะถูกปิดเมื่อถูกส่ง","Debes completar la sección de Email y el caso se cerrará al enviarlo.","Du må fullføre epost seksjonen hvor saken blir lukket ved sending","Musisz uzupełnić treść wiadomości, sprawa zostanie zamknięta po wysłaniu emaila","Bạn cần hoàn thành phần thư điện tử và case này sẽ được đóng lại khi gửi đi.","Deve completar a secção de Email e o Caso será encerrado após o envio.","Vous devez remplir la section Courriel et la requête sera fermée au moment de l'envoi.","Du musst den E-Mail Abschnitt vervollständigen und der Vorgang wird beim Senden geschlossen.","Debes completar la sección de Email y el caso se cerrará al enviarlo.","Vous devez remplir la section E-mail et le cas sera fermé une fois envoyé.","Devi completare la sezione Email e il caso si chiuderà dopo l'invio","이메일 섹션을 완료하여야 하며 발송시 케이스가 종료됩니다.","CustomLabel$CEC_Close_A_case_Email_Confirmation_Message","Will be Transalted","No"
"关门时间","CustomLabel.CEC_Close_Time","Close Time","Horário de Encerramento","Lukketid","เวลาปิดทำการ","Hora de Cierre","Stengetid","Godzina zamknięcia","Thời gian đóng cửa","Horário de Encerramento","Heure de fermeture","Geschäftsschluss","Horario de Cierre","Heure de fermeture","Orario di chiusura","종료 시간","CustomLabel$CEC_Close_Time","Will be Transalted","No"
"收取的费用","CustomLabel.CEC_Collected","$ Collected","Cobrança na entrega (Not Aplicable in Brazil)","$ Samlet","ค่าธรรมเนียมที่เรียกเก็บ","$ Cobrado","$ samlet","Pobrana kwota","Số tiền cần thu","$ Recebido","$ perçu","EUR kassiert","$ Cobrado","$ perçu","Importo ritirato","수금된 금액","CustomLabel$CEC_Collected","Will be Transalted","No"
"备注","CustomLabel.CEC_Comments","COMMENTS","Comentários","Kommentarer","ข้อคิดเห็น","COMENTARIOS","Kommentarer","Komentarze","Bình luận","COMENTÁRIOS","COMMENTAIRES","BEMERKUNGEN","COMENTARIOS","COMMENTAIRES","COMMENTI","코멘트","CustomLabel$CEC_Comments","Will be Transalted","No"
"联络首选","CustomLabel.CEC_Communication_Preferences","Communication Preferences","Preferencia de Comunicação","Kommunikationspræferencer","ช่องทางการติดต่อที่ต้องการ","Preferencia de Comunicación","Kommunikasjonspreferanse","Preferowana forma kontaktu","Phương thức liên lạc phù hợp","Preferência de Comunicação","Préférence de communication","Bevorzugte Kommunikation","Preferencia de Comunicación","Préférence de communication","Preferenze di comunicazione","선호 연락 수단","CustomLabel$CEC_Communication_Preferences","Will be Transalted","No"
"个人客户","CustomLabel.CEC_Consumer","Consumer","Cliente","Forbruger","ผู้ใช้ส่วนบุคคล","Cliente Particular","Forbruker","Klient prywatny","Khách hàng","","Consommateur","Privatkunde","Cliente Particular","Consommateur","Cliente occasionale - privato","개인 사용자","CustomLabel$CEC_Consumer","Will be Transalted","No"
"用电话号码，姓名或者邮箱地址搜索","CustomLabel.CEC_Consumer_LookUpTitle","Search by Phone Number, First & Last Name or Email Address","Procurar pelo número de telefone, primeiro & último nome ou endereço de e-mail","Søg med telefonnummer, første- og efternavn eller e-mail adresse","ค้นหาตามหมายเลขโทรศัพท์ ชื่อ และนามสกุล หรือที่อยู่อีเมล","Buscar por número de teléfono, nombre y apellido o dirección de correo electrónico","Søk med Telefonnummer, For- og etternavn eller email adresse","Wyszukaj według numeru telefonu, imienia i nazwiska lub adresu e-mail","Tìm kiếm theo số điện thoại, tên, họ hay thư điện tử","Procurar pelo número de telefone, primeiro e último nome ou endereço de Email","Rechercher par numéro de téléphone, nom et prénom ou adresse de courriel","Suche anhand Telefonnummer, Vor- & Nachname oder E-Mailadresse","Buscar por número de teléfono, nombre y apellido o dirección de correo electrónico","Recherche par numéro de téléphone, nom et prénom ou adresse Email","Ricerca con numero di telefono, nome e cognome o indirizzo email","연락처, 성&이름, 이메일 주소로 검색","CustomLabel$CEC_Consumer_LookUpTitle","Will be Transalted","No"
"联系人","CustomLabel.CEC_Contact","Contact","Contato","Kontakt","ผู้ติดต่อ","Contacto","Kontakt","Kontakt","Liên lạc","Contacto","Contact","Kontakt","Contacto","Contact","Contatto","담당자","CustomLabel$CEC_Contact","Will be Transalted","No"
"电话完成（系统生成）","CustomLabel.CEC_ContactCase_Default_Resolution_Comments","Call Complete (system generated)","Chamado Finalizado (sistema gerado)","Kald gennemført (system-genereret)","เสร็จสิ้นการโทรศัพท์ (ระบบสร้าง)","Llamada completada (generada por el sistema)","Samtale gjennomført (System generert)","Połączenie zakończone (wygenerowane systemowo)","Hoàn thành cuộc gọi (do hệ thống tạo)","Chamada efectuada (gerado por sistema)","Appel terminé (généré par le système)","Anruf beendet (System generiert)","Llamada completada (generada por el sistema)","Appel terminé (généré par le système)","Contatto completato (generato dal sistema)","연락 완료 (시스템 생성)","CustomLabel$CEC_ContactCase_Default_Resolution_Comments","Will be Transalted","No"
"联络案件","CustomLabel.CEC_Contact_Case","Contact Case","Contato do Case","Sagskontakt","เคสการติดต่อ","Contacto del Caso","Sak - Kontakt","Wymagany kontakt","Trường hợp cần liên lạc","Contacto do Caso","Requête - Contact","Vorgang erhalten per","Contacto del Caso","Contact Requête","Caso - Contatto cliente","연락 사례","CustomLabel$CEC_Contact_Case","Will be Transalted","No"
"联系人详情","CustomLabel.CEC_Contact_Details","Contact Details","Detalhes do Contato","Kontaktoplysninger","รายละเอียดการติดต่อ","Detalles de Contacto","Kontaktdetaljer","Szczegóły kontaktu","Thông tin liên hệ","Detalhes de Contacto","Coordonnées du contact","Kontaktdetails","Detalles de Contacto","Détails du contact","Dettagli contatto","연락처","CustomLabel$CEC_Contact_Details","Will be Transalted","No"
"是否可以编辑","CustomLabel.CEC_Contact_Editable","Editable","Editar","Kan ændres","แก้ไขได้","Modificable","Modifiserbar","Edycja","Điều chỉnh","Editável","Modifiable","Ändern","Modificable","Modifiable","Modificabile","편집 가능","CustomLabel$CEC_Contact_Editable","Will be Transalted","No"
"联系人记录无法删除","CustomLabel.CEC_Contact_Record_Can_Not_Be_Removed","Contact Record cannot be removed.","O registro de contato não pode ser removido","","ไม่สามารถลบบันทึกการติดต่อได้","El registro de contacto no se puede eliminar","","Rekord kontaktu nie może zostać usunięty.","","O registro de contato não pode ser removido","","Rekord kontaktu nie może zostać usunięty.","El registro de contacto no se puede eliminar","L'enregistrement de contact ne peut pas être supprimé","","연락처 기록은 삭제할 수 없습니다.","CustomLabel$CEC_Contact_Record_Can_Not_Be_Removed","Will be Transalted","No"
"联系记录","CustomLabel.CEC_Contact_Records","Contact Records","Registros de contato","","บันทึกการติดต่อ","Registros de contacto","","Szczegóły kontaktowe","","Registros de contato","","Kontaktdaten","Registros de contacto","Dossiers de contact","","연락처 기록","CustomLabel$CEC_Contact_Records","Will be Transalted","No"
"联系人来源","CustomLabel.CEC_Contact_Type","Contact Source","Busca de Contato","kontaktkilde","แหล่งติดต่อ","Fuente del Contacto","Kontaktkilde","Źródło kontaktu","Nguồn liên lạc","Pesquisa de Contacto","Source contact","System","Fuente del Contacto","Contact Source","Fonte","출처","CustomLabel$CEC_Contact_Type","Will be Transalted","No"
"联系人","CustomLabel.CEC_Contact_Uppercase","CONTACT","CONTATO","Kontakt","การติดต่อ","CONTACTO","KONTAKT","KONTAKT","Liên lạc","CONTACTO","CONTACT","KONTAKT","CONTACTO","CONTACT","CONTATTO","담당자","CustomLabel$CEC_Contact_Uppercase","Will be Transalted","No"
"邮件联系","CustomLabel.CEC_Contact_by_Email","Contact by Email","Contato por e-mail","Kundens foretrukne kommunikationsmetode","การติดต่อทางอิเมล","Contactar por Email","Kontakt via Email","Kontakt e-mailowy","Liên lạc qua thư điện tử","Contacto por Email","Contact par courriel","E-Mail Kontakt","Contactar por Email","Contact par E-mail","Contattare via email","이메일 연락","CustomLabel$CEC_Contact_by_Email","Will be Transalted","No"
"电话联系","CustomLabel.CEC_Contact_by_Phone","Contact by Phone","Contato por Telefone","Kontakt via telefon","การติดต่อทางโทรศัพท์","Contactar por Teléfono","Kontakt via telefon","Kontakt telefoniczny","Liên lạc qua điện thoại","Contacto por Telefone","Contact par téléphone","Telefonischer Kontakt","Contactar por Teléfono","Contact par téléphone","Contattare telefonicamente","전화 연락","CustomLabel$CEC_Contact_by_Phone","Will be Transalted","No"
"短信联系","CustomLabel.CEC_Contact_by_SMS","Contact by SMS","Contato por SMS","Kontakt via SMS","การติดต่อทาง SMS","Contactar por SMS","Kontakt via SMS","Kontakt za pomocą SMS","Liên lạc qua tin nhắn điện thoại di động","Contacto por SMS","Contact par SMS","SMS Kontakt","Contactar por SMS","Contact par SMS","Contattare via SMS","문자메세지 연락","CustomLabel$CEC_Contact_by_SMS","Will be Transalted","No"
"联系人","CustomLabel.CEC_Contacts","CONTACTS","CONTATOS","Kontakter","การติดต่อ","CONTACTOS","KONTAKTER","KONTAKTY","Liên hệ","CONTACTOS","CONTACTS","KONTAKTE","CONTACTOS","CONTACTS","CONTATTI","담당자","CustomLabel$CEC_Contacts","Will be Transalted","No"
"近期的联系案件","CustomLabel.CEC_Contacts_cases","CONTACT'S RECENT CASES","CONTATOS DOS CASOS RECENTES","Kontaktens nye sager","เคสการติดต่อล่าสุด","CONTACTOS DE CASOS RECIENTES","KONTAKTENS SENESTE SAKER","HISTORIA SPRAW","Liên lạc của trường hợp gần nhất.","CONTACTOS DE CASOS RECENTES","REQUÊTES RÉCENTES DU CONTACT","LETZTE ANFRAGEN VON DIESEM KONTAKT","CONTACTOS DE CASOS RECIENTES","DOSSIERS RÉCENTS DU CONTACT","CASI RECENTI","최근 연락 사례","CustomLabel$CEC_Contacts_cases","Will be Transalted","No"
